Wavelength,Flux,BestFit,SkyFlux
4536.280,46.338,48.957,13.294
4537.327,45.905,49.266,13.546
4538.370,47.083,49.402,14.232
4539.417,46.247,48.801,14.319
4540.461,46.362,48.452,13.732
4541.508,51.737,48.713,13.274
4542.553,46.548,48.920,13.649
4543.598,50.607,48.797,14.808
4544.646,47.501,48.083,15.296
4545.691,48.030,48.197,15.024
4546.739,50.915,48.074,14.622
4547.785,46.662,47.667,15.097
4548.834,49.258,48.086,14.397
4549.881,49.479,48.436,12.983
4550.927,50.289,47.857,12.222
4551.977,50.915,47.941,12.745
4553.024,48.551,48.123,13.486
4554.074,45.818,47.887,13.926
4555.121,46.687,47.563,13.603
4556.172,48.125,47.185,12.819
4557.220,44.309,47.025,12.576
4558.268,47.549,47.234,13.244
4559.319,47.131,47.580,13.444
4560.368,48.627,47.653,13.073
4561.420,45.161,47.279,13.210
4562.469,46.997,46.964,12.921
4563.521,47.476,47.268,12.711
4564.571,47.290,47.311,12.784
4565.621,46.097,47.280,12.396
4566.674,48.486,47.437,11.836
4567.725,49.668,47.412,11.991
4568.778,48.592,46.718,12.058
4569.829,48.526,46.590,11.992
4570.883,47.576,47.018,12.004
